Taxonomy	Nextlevel	tax_compiled
Haptophytes;Haptophyta;Coccolithophyceae;Prymnesiales;Prymnesiaceae;Prymnesium;	Haptophyta	Haptophytes
Haptophytes;Haptophyta;Coccolithophyceae;Prymnesiales;Prymnesiaceae;Prymnesium;Prymnesium parvum;	Haptophyta	Haptophytes
Haptophytes;Haptophyta;Coccolithophyceae;Zygodiscales;	Haptophyta	Haptophytes
Haptophytes;Haptophyta;Coccolithophyceae;Zygodiscales;Pontosphaeraceae;	Haptophyta	Haptophytes
Haptophytes;Haptophyta;Coccolithophyceae;Zygodiscales;Pontosphaeraceae;Scyphosphaera;	Haptophyta	Haptophytes
Haptophytes;Haptophyta;Coccolithophyceae;Zygodiscales;Pontosphaeraceae;Scyphosphaera;Scyphosphaera apsteinii;	Haptophyta	Haptophytes
Haptophytes;Haptophyta;Pavlovophyceae;	Haptophyta	Haptophytes
Haptophytes;Haptophyta;Pavlovophyceae;Pavlovales;	Haptophyta	Haptophytes
Haptophytes;Haptophyta;Pavlovophyceae;Pavlovales;Pavlovaceae;	Haptophyta	Haptophytes
Haptophytes;Haptophyta;Pavlovophyceae;Pavlovales;Pavlovaceae;Exanthemachrysis;	Haptophyta	Haptophytes
Haptophytes;Haptophyta;Pavlovophyceae;Pavlovales;Pavlovaceae;Exanthemachrysis;Exanthemachrysis gayraliae;	Haptophyta	Haptophytes
Haptophytes;Haptophyta;Pavlovophyceae;Pavlovales;Pavlovaceae;Pavlova;	Haptophyta	Haptophytes
Haptophytes;Haptophyta;Pavlovophyceae;Pavlovales;Pavlovaceae;Pavlova;Pavlova gyrans;	Haptophyta	Haptophytes
Haptophytes;Haptophyta;Pavlovophyceae;Pavlovales;Pavlovaceae;Pavlova;Pavlova lutheri;	Haptophyta	Haptophytes
Haptophytes;Haptophyta;Pavlovophyceae;Pavlovales;Pavlovaceae;Pavlova;Pavlova sp.;	Haptophyta	Haptophytes
Opisthokont;	Other	Opisthokont
Opisthokont;Choanoflagellatea;	Choanoflagellatea	Opisthokont
Opisthokont;Choanoflagellatea;Acanthoecida;	Choanoflagellatea	Opisthokont
Opisthokont;Choanoflagellatea;Acanthoecida;Acanthoecidae;	Choanoflagellatea	Opisthokont
Opisthokont;Choanoflagellatea;Acanthoecida;Acanthoecidae;Incertae sedis;	Choanoflagellatea	Opisthokont
Opisthokont;Choanoflagellatea;Acanthoecida;Acanthoecidae;Incertae sedis;Acanthoeca-like;	Choanoflagellatea	Opisthokont
Opisthokont;Choanoflagellatea;Acanthoecida;Acanthoecidae;Incertae sedis;Acanthoeca-like;Acanthoeca-like sp.;	Choanoflagellatea	Opisthokont
Opisthokont;Choanoflagellatea;Craspedida;	Choanoflagellatea	Opisthokont
Opisthokont;Choanoflagellatea;Craspedida;Salpingoecidae;	Choanoflagellatea	Opisthokont
Opisthokont;Choanoflagellatea;Craspedida;Salpingoecidae;Incertae sedis;	Choanoflagellatea	Opisthokont
Opisthokont;Choanoflagellatea;Craspedida;Salpingoecidae;Incertae sedis;Monosiga;	Choanoflagellatea	Opisthokont
Opisthokont;Choanoflagellatea;Craspedida;Salpingoecidae;Incertae sedis;Monosiga;Monosiga brevicollis;	Choanoflagellatea	Opisthokont
Opisthokont;Choanoflagellatea;Craspedida;Salpingoecidae;Incertae sedis;Salpingoeca;	Choanoflagellatea	Opisthokont
Opisthokont;Choanoflagellatea;Craspedida;Salpingoecidae;Incertae sedis;Salpingoeca;Salpingoeca rosetta;	Choanoflagellatea	Opisthokont
Opisthokont;Fungi;	Fungi	Opisthokont
Opisthokont;Fungi;Chrytridiomycetes;	Fungi	Opisthokont
Opisthokont;Fungi;Chrytridiomycetes;Rhizophydiales;	Fungi	Opisthokont
Opisthokont;Fungi;Chrytridiomycetes;Rhizophydiales;Incertae sedis;	Fungi	Opisthokont
Opisthokont;Fungi;Chrytridiomycetes;Rhizophydiales;Incertae sedis;Batrachochytrium;	Fungi	Opisthokont
Opisthokont;Fungi;Chrytridiomycetes;Rhizophydiales;Incertae sedis;Batrachochytrium;Batrachochytrium dendrobatidis;	Fungi	Opisthokont
Opisthokont;Fungi;Saccharomycetes;	Fungi	Opisthokont
Opisthokont;Fungi;Saccharomycetes;Saccharomycetales;	Fungi	Opisthokont
Opisthokont;Fungi;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;	Fungi	Opisthokont
Opisthokont;Fungi;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Debaryomyces;	Fungi	Opisthokont
Opisthokont;Fungi;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Debaryomyces;Debaryomyces hansenii;	Fungi	Opisthokont
Opisthokont;Fungi;Sordariomycetes;	Fungi	Opisthokont
Opisthokont;Fungi;Sordariomycetes;Incertae sedis;	Fungi	Opisthokont
Opisthokont;Fungi;Sordariomycetes;Incertae sedis;Incertae sedis;	Fungi	Opisthokont
Opisthokont;Fungi;Sordariomycetes;Incertae sedis;Incertae sedis;Corollospora;	Fungi	Opisthokont
Opisthokont;Fungi;Sordariomycetes;Incertae sedis;Incertae sedis;Corollospora;Corollospora maritime;	Fungi	Opisthokont
Opisthokont;Fungi;Ustilaginomycetes;	Fungi	Opisthokont
Opisthokont;Fungi;Ustilaginomycetes;Incertae sedis;	Fungi	Opisthokont
Opisthokont;Fungi;Ustilaginomycetes;Incertae sedis;Incertae sedis;	Fungi	Opisthokont
Opisthokont;Fungi;Ustilaginomycetes;Incertae sedis;Incertae sedis;Pseudozyma;	Fungi	Opisthokont
Opisthokont;Metazoa;	Metazoa	Opisthokont
Opisthokont;Metazoa;Anthozoa;	Metazoa	Opisthokont
Opisthokont;Metazoa;Anthozoa;Actiniaria;	Metazoa	Opisthokont
Opisthokont;Metazoa;Anthozoa;Actiniaria;Edwardsiidae;	Metazoa	Opisthokont
Opisthokont;Metazoa;Anthozoa;Actiniaria;Edwardsiidae;Nematostella;	Metazoa	Opisthokont
Opisthokont;Metazoa;Anthozoa;Actiniaria;Edwardsiidae;Nematostella;Nematostella vectensis;	Metazoa	Opisthokont
Opisthokont;Metazoa;Appendicularia;	Metazoa	Opisthokont
Opisthokont;Metazoa;Appendicularia;Copelata;	Metazoa	Opisthokont
Opisthokont;Metazoa;Appendicularia;Copelata;Oikopleuridae;	Metazoa	Opisthokont
Opisthokont;Metazoa;Appendicularia;Copelata;Oikopleuridae;Oikopleura;	Metazoa	Opisthokont
Opisthokont;Metazoa;Appendicularia;Copelata;Oikopleuridae;Oikopleura;Oikopleura dioica;	Metazoa	Opisthokont
Opisthokont;Metazoa;Bivalvia;	Metazoa	Opisthokont
Opisthokont;Metazoa;Bivalvia;Ostreida;	Metazoa	Opisthokont
Opisthokont;Metazoa;Bivalvia;Ostreida;Ostreidae;	Metazoa	Opisthokont
Opisthokont;Metazoa;Bivalvia;Ostreida;Ostreidae;Crassostrea;	Metazoa	Opisthokont
Opisthokont;Metazoa;Bivalvia;Ostreida;Ostreidae;Crassostrea;Crassostrea gigas;	Metazoa	Opisthokont
Opisthokont;Metazoa;Crustacea;	Metazoa	Opisthokont
Opisthokont;Metazoa;Crustacea;Anomopoda;	Metazoa	Opisthokont
Opisthokont;Metazoa;Crustacea;Anomopoda;Daphniidae;	Metazoa	Opisthokont
Opisthokont;Metazoa;Crustacea;Anomopoda;Daphniidae;Daphnia;	Metazoa	Opisthokont
Opisthokont;Metazoa;Crustacea;Anomopoda;Daphniidae;Daphnia;Daphnia pulex;	Metazoa	Opisthokont
Opisthokont;Metazoa;Crustacea;Copepoda;	Metazoa	Opisthokont
Opisthokont;Metazoa;Crustacea;Copepoda;Calanidae;	Metazoa	Opisthokont
Opisthokont;Metazoa;Crustacea;Copepoda;Calanidae;Calanus;	Metazoa	Opisthokont
Opisthokont;Metazoa;Crustacea;Copepoda;Calanidae;Calanus;Calanus finmarchicus;	Metazoa	Opisthokont
Opisthokont;Metazoa;Crustacea;Copepoda;Harpacticidae;	Metazoa	Opisthokont
Opisthokont;Metazoa;Crustacea;Copepoda;Harpacticidae;Tigriopus;	Metazoa	Opisthokont
Opisthokont;Metazoa;Crustacea;Copepoda;Harpacticidae;Tigriopus;Tigriopus californicus;	Metazoa	Opisthokont
Opisthokont;Metazoa;Demospongiae;	Metazoa	Opisthokont
Opisthokont;Metazoa;Demospongiae;Haplosclerida;	Metazoa	Opisthokont
Opisthokont;Metazoa;Demospongiae;Haplosclerida;Niphatidae;	Metazoa	Opisthokont
Opisthokont;Metazoa;Demospongiae;Haplosclerida;Niphatidae;Amphimedon;	Metazoa	Opisthokont
Opisthokont;Metazoa;Demospongiae;Haplosclerida;Niphatidae;Amphimedon;Amphimedon queenslandica;	Metazoa	Opisthokont
Opisthokont;Metazoa;Echinoidea;	Metazoa	Opisthokont
Opisthokont;Metazoa;Echinoidea;Camarodonta;	Metazoa	Opisthokont
Opisthokont;Metazoa;Echinoidea;Camarodonta;Strongylocentrotidae;	Metazoa	Opisthokont
Opisthokont;Metazoa;Echinoidea;Camarodonta;Strongylocentrotidae;Strongylocentrotus;	Metazoa	Opisthokont
Opisthokont;Metazoa;Echinoidea;Camarodonta;Strongylocentrotidae;Strongylocentrotus;Strongylocentrotus purpuratus;	Metazoa	Opisthokont
Opisthokont;Metazoa;Gastropoda;	Metazoa	Opisthokont
Opisthokont;Metazoa;Gastropoda;Lottioidea;	Metazoa	Opisthokont
Opisthokont;Metazoa;Gastropoda;Lottioidea;Lottiidae;	Metazoa	Opisthokont
Opisthokont;Metazoa;Gastropoda;Lottioidea;Lottiidae;Lottia;	Metazoa	Opisthokont
Opisthokont;Metazoa;Gastropoda;Lottioidea;Lottiidae;Lottia;Lottia gigantea;	Metazoa	Opisthokont
Opisthokont;Metazoa;Myxozoa;	Metazoa	Opisthokont
Opisthokont;Metazoa;Myxozoa;Bibalvulida;	Metazoa	Opisthokont
Opisthokont;Metazoa;Myxozoa;Bibalvulida;Myxobolidae;	Metazoa	Opisthokont
Opisthokont;Metazoa;Myxozoa;Bibalvulida;Myxobolidae;Thelohanellus;	Metazoa	Opisthokont
Opisthokont;Metazoa;Polychaeta;	Metazoa	Opisthokont
Opisthokont;Metazoa;Polychaeta;Sedentaria;	Metazoa	Opisthokont
Opisthokont;Metazoa;Polychaeta;Sedentaria;Capitellidae;	Metazoa	Opisthokont
Opisthokont;Metazoa;Polychaeta;Sedentaria;Capitellidae;Capitella;	Metazoa	Opisthokont
Opisthokont;Metazoa;Polychaeta;Sedentaria;Capitellidae;Capitella;Capitella teleta;	Metazoa	Opisthokont
Opisthokont;Metazoa;Tentaculata;	Metazoa	Opisthokont
Opisthokont;Metazoa;Tentaculata;Cydippida;	Metazoa	Opisthokont
Opisthokont;Metazoa;Tentaculata;Cydippida;Pleurobrachiidae;	Metazoa	Opisthokont
Opisthokont;Metazoa;Tentaculata;Cydippida;Pleurobrachiidae;Pleurobrachia;	Metazoa	Opisthokont
Opisthokont;Metazoa;Tentaculata;Cydippida;Pleurobrachiidae;Pleurobrachia;Pleurobrachia bachei;	Metazoa	Opisthokont
Opisthokont;Metazoa;Tentaculata;Lobata;	Metazoa	Opisthokont
Opisthokont;Metazoa;Tentaculata;Lobata;Bolinopsidae;	Metazoa	Opisthokont
Opisthokont;Metazoa;Tentaculata;Lobata;Bolinopsidae;Mnemiopsis;	Metazoa	Opisthokont
Opisthokont;Metazoa;Tentaculata;Lobata;Bolinopsidae;Mnemiopsis;Mnemiopsis leidyi;	Metazoa	Opisthokont
Rhizaria;	Other	Rhizaria
Rhizaria;Cercozoa;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Bigelowiella;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Bigelowiella;Bigelowiella longifila;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Bigelowiella;Bigelowiella natans;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Chlorarachnion;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Chlorarachnion;Chlorarachnion reptans;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Gymnochlora;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Gymnochlora;Gymnochlora sp.;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Lotharella;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Lotharella;Lotharella amoebiformis;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Lotharella;Lotharella globosa;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Lotharella;Lotharella oceanica;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Norrisiella;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Norrisiella;Norrisiella sphaerica;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Partenskyella;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Chlorarachniophyceae;Partenskyella;Partenskyella glossopodia;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Paulinellideae;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Paulinellideae;Paulinella;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Filosa;Chlorarachniophyta;Paulinellideae;Paulinella;Paulinella chromatophora;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Haplospora;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Haplospora;Haplosporida;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Haplospora;Haplosporida;Haplosporiidae;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Haplospora;Haplosporida;Haplosporiidae;Minchinia;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Haplospora;Haplosporida;Haplosporiidae;Minchinia;Minchinia chitonis;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Thecofilosea;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Thecofilosea;Incertae sedis;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Thecofilosea;Incertae sedis;Incertae sedis;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Thecofilosea;Incertae sedis;Incertae sedis;Thecofilosea;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Thecofilosea;Incertae sedis;Incertae sedis;Thecofilosea;Thecofilosea Unknown;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Thecofilosea;Phaeodaria;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Thecofilosea;Phaeodaria;Incertae sedis;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Thecofilosea;Phaeodaria;Incertae sedis;Aulacantha;	Cercozoa	Rhizaria
Rhizaria;Cercozoa;Thecofilosea;Phaeodaria;Incertae sedis;Aulacantha;Aulacantha scolymantha;	Cercozoa	Rhizaria
Rhizaria;Retaria;	Retaria	Rhizaria
Rhizaria;Retaria;Acantharia;	Acantharia	Rhizaria
Rhizaria;Retaria;Acantharia;Incertae sedis;	Acantharia	Rhizaria
Rhizaria;Retaria;Acantharia;Incertae sedis;Incertae sedis;	Acantharia	Rhizaria
Rhizaria;Retaria;Acantharia;Incertae sedis;Incertae sedis;Amphilonche;	Acantharia	Rhizaria
Rhizaria;Retaria;Acantharia;Incertae sedis;Incertae sedis;Amphilonche;Amphilonche elongata;	Acantharia	Rhizaria
Rhizaria;Retaria;Acantharia;Taxopodida;	Acantharia	Rhizaria
Rhizaria;Retaria;Acantharia;Taxopodida;Sticholonchida;	Acantharia	Rhizaria
Rhizaria;Retaria;Acantharia;Taxopodida;Sticholonchida;Sticholonche;	Acantharia	Rhizaria
Rhizaria;Retaria;Acantharia;Taxopodida;Sticholonchida;Sticholonche;Sticholonche;	Acantharia	Rhizaria
Rhizaria;Retaria;Foraminifera;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Elphidiidae;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Elphidiidae;Incertae sedis;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Elphidiidae;Incertae sedis;Elphidium;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Reticulomyxidae;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Reticulomyxidae;Monothalamids;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Reticulomyxidae;Monothalamids;Reticulomyxa;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Reticulomyxidae;Monothalamids;Reticulomyxa;Reticulomyxa filosa;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Rosalinidae;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Rosalinidae;Incertae sedis;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Rosalinidae;Incertae sedis;Rosalina;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Rosalinidae;Incertae sedis;Rosalina;Rosalina sp.;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Rotaliidae;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Rotaliidae;Incertae sedis;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Rotaliidae;Incertae sedis;Ammonia;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Rotaliidae;Incertae sedis;Ammonia;Ammonia sp.;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Soritidae;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Soritidae;Incertae sedis;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Soritidae;Incertae sedis;Sorites;	Foraminifera	Rhizaria
Rhizaria;Retaria;Foraminifera;Soritidae;Incertae sedis;Sorites;Sorites sp.;	Foraminifera	Rhizaria
Rhizaria;Retaria;Polycystinea;	Polycystinea	Rhizaria
Rhizaria;Retaria;Polycystinea;Collodaria;	Polycystinea	Rhizaria
Rhizaria;Retaria;Polycystinea;Collodaria;Incertae sedis;	Polycystinea	Rhizaria
Rhizaria;Retaria;Polycystinea;Collodaria;Incertae sedis;Collozoum;	Polycystinea	Rhizaria
Rhizaria;Retaria;Polycystinea;Collodaria;Incertae sedis;Collozoum;Collozoum sp.;	Polycystinea	Rhizaria
Rhizaria;Retaria;Polycystinea;Nassellaria;	Polycystinea	Rhizaria
Rhizaria;Retaria;Polycystinea;Nassellaria;Incertae sedis;	Polycystinea	Rhizaria
Rhizaria;Retaria;Polycystinea;Nassellaria;Incertae sedis;Lithomelizza;	Polycystinea	Rhizaria
Rhizaria;Retaria;Polycystinea;Nassellaria;Incertae sedis;Lithomelizza;Lithomelizza setosa;	Polycystinea	Rhizaria
Rhizaria;Retaria;Polycystinea;Spumellaria;	Polycystinea	Rhizaria
Rhizaria;Retaria;Polycystinea;Spumellaria;Collosphaeridae;	Polycystinea	Rhizaria
Rhizaria;Retaria;Polycystinea;Spumellaria;Collosphaeridae;Spongosphaera;	Polycystinea	Rhizaria
Rhizaria;Retaria;Polycystinea;Spumellaria;Collosphaeridae;Spongosphaera;Spongosphaera streptacantha;	Polycystinea	Rhizaria
Rhizaria;Retaria;Polycystinea;Spumellaria;Collosphaeridae;Thalassicolla;	Polycystinea	Rhizaria
Rhizaria;Retaria;Polycystinea;Spumellaria;Collosphaeridae;Thalassicolla;Thalassicolla nucleata;	Polycystinea	Rhizaria
Stramenopile;	Other	Other Stramenopile
Stramenopile;Bicosoecida;Biocoecea;	Bicosoecida	Other Stramenopile
Stramenopile;Bicosoecida;Biocoecea;Bicoecida;	Bicosoecida	Other Stramenopile
Stramenopile;Bicosoecida;Biocoecea;Bicoecida;Bicosoecaceae;	Bicosoecida	Other Stramenopile
Stramenopile;Bicosoecida;Biocoecea;Bicoecida;Bicosoecaceae;Bicosoeca;	Bicosoecida	Other Stramenopile
Stramenopile;Bicosoecida;Biocoecea;Bicoecida;Bicosoecaceae;Bicosoeca;Bicosoecid sp;	Bicosoecida	Other Stramenopile
Stramenopile;Bicosoecida;Biocoecea;Bicoecida;Cafeteriaceae;	Bicosoecida	Other Stramenopile
Stramenopile;Bicosoecida;Biocoecea;Bicoecida;Cafeteriaceae;Cafeteria;	Bicosoecida	Other Stramenopile
Stramenopile;Bicosoecida;Biocoecea;Bicoecida;Cafeteriaceae;Cafeteria;Cafeteria roenbergensis;	Bicosoecida	Other Stramenopile
Stramenopile;Bicosoecida;Biocoecea;Bicoecida;Cafeteriaceae;Cafeteria;Cafeteria sp.;	Bicosoecida	Other Stramenopile
Stramenopile;Labyrinthulomycota;Labyrinthulomycetes;	Labyrinthulomycota	Other Stramenopile
Stramenopile;Labyrinthulomycota;Labyrinthulomycetes;Labyrinthulales;	Labyrinthulomycota	Other Stramenopile
Stramenopile;Labyrinthulomycota;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;	Labyrinthulomycota	Other Stramenopile
Stramenopile;Labyrinthulomycota;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;	Labyrinthulomycota	Other Stramenopile
Stramenopile;Labyrinthulomycota;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;Aplanochytrium sp;	Labyrinthulomycota	Other Stramenopile
Stramenopile;Labyrinthulomycota;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;Aplanochytrium stocchinoi;	Labyrinthulomycota	Other Stramenopile
Stramenopile;Labyrinthulomycota;Labyrinthulomycetes;Thraustochytriales;	Labyrinthulomycota	Other Stramenopile
Stramenopile;Labyrinthulomycota;Labyrinthulomycetes;Thraustochytriales;Thraustochytriacae;	Labyrinthulomycota	Other Stramenopile
Stramenopile;Labyrinthulomycota;Labyrinthulomycetes;Thraustochytriales;Thraustochytriacae;Aurantiochytrium;	Labyrinthulomycota	Other Stramenopile
Stramenopile;Labyrinthulomycota;Labyrinthulomycetes;Thraustochytriales;Thraustochytriacae;Aurantiochytrium;Aurantiochytrium limacinum;	Labyrinthulomycota	Other Stramenopile
Stramenopile;Labyrinthulomycota;Labyrinthulomycetes;Thraustochytriales;Thraustochytriacae;Schizochytrium;	Labyrinthulomycota	Other Stramenopile
Stramenopile;Labyrinthulomycota;Labyrinthulomycetes;Thraustochytriales;Thraustochytriacae;Schizochytrium;Schizochytrium aggregatum;	Labyrinthulomycota	Other Stramenopile
Stramenopile;Labyrinthulomycota;Labyrinthulomycetes;Thraustochytriales;Thraustochytriacae;Thraustochytrium;	Labyrinthulomycota	Other Stramenopile
Stramenopile;Labyrinthulomycota;Labyrinthulomycetes;Thraustochytriales;Thraustochytriacae;Thraustochytrium;Thraustochytrium sp.;	Labyrinthulomycota	Other Stramenopile
Stramenopile;MAST;MAST;	MAST	MAST
Stramenopile;MAST;MAST;MAST-3;	MAST	MAST
Stramenopile;MAST;MAST;MAST-3;MAST-3;	MAST	MAST
Stramenopile;MAST;MAST;MAST-3;MAST-3;MAST-3;	MAST	MAST
Stramenopile;MAST;MAST;MAST-3;MAST-3;MAST-3;Incisomonas marina (MAST-3);	MAST	MAST
Stramenopile;MAST;MAST;MAST-3;MAST-3;MAST-3A;	MAST	MAST
Stramenopile;MAST;MAST;MAST-3;MAST-3;MAST-3A;MAST-3A;	MAST	MAST
Stramenopile;MAST;MAST;MAST-3;MAST-3;MAST-3F;	MAST	MAST
Stramenopile;MAST;MAST;MAST-3;MAST-3;MAST-3F;MAST-3F;	MAST	MAST
Stramenopile;MAST;MAST;MAST-4;	MAST	MAST
Stramenopile;MAST;MAST;MAST-4;MAST-4;	MAST	MAST
Stramenopile;MAST;MAST;MAST-4;MAST-4;MAST-4;	MAST	MAST
Stramenopile;MAST;MAST;MAST-4;MAST-4;MAST-4;MAST-4;	MAST	MAST
Stramenopile;MAST;MAST;MAST-4;MAST-4;MAST-4A;	MAST	MAST
Stramenopile;MAST;MAST;MAST-4;MAST-4;MAST-4A;MAST-4A;	MAST	MAST
Stramenopile;MAST;MAST;MAST-4;MAST-4;MAST-4A;MAST-4A1;	MAST	MAST
Stramenopile;MAST;MAST;MAST-4;MAST-4;MAST-4A;MAST-4A2;	MAST	MAST
Stramenopile;MAST;MAST;MAST-4;MAST-4;MAST-4C;	MAST	MAST
Stramenopile;MAST;MAST;MAST-4;MAST-4;MAST-4C;MAST-4C;	MAST	MAST
Stramenopile;MAST;MAST;MAST-4;MAST-4;MAST-4E;	MAST	MAST
Stramenopile;MAST;MAST;MAST-4;MAST-4;MAST-4E;MAST-4E;	MAST	MAST
Stramenopile;Ochrophyta;	Ochrophyta	Other Stramenopile
Stramenopile;Ochrophyta;Bacillariophyceae;	Bacillariophyceae	Diatom
Stramenopile;Ochrophyta;Bacillariophyceae;Bacillariales;	Bacillariophyceae	Diatom
Stramenopile;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;	Bacillariophyceae	Diatom
Stramenopile;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;	Bacillariophyceae	Diatom
Stramenopile;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium;	Bacillariophyceae	Diatom
Stramenopile;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;	Bacillariophyceae	Diatom
Stramenopile;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Fragilariopsis;Fragilariopsis kerguelensis;	Bacillariophyceae	Diatom
Stramenopile;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;	Bacillariophyceae	Diatom
Stramenopile;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia punctata;	Bacillariophyceae	Diatom
Stramenopile;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Nitzschia;Nitzschia sp.;	Bacillariophyceae	Diatom
Stramenopile;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;	Bacillariophyceae	Diatom
Stramenopile;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia arenysensis;	Bacillariophyceae	Diatom
Stramenopile;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia australis;	Bacillariophyceae	Diatom
Stramenopile;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia delicatissima;	Bacillariophyceae	Diatom
Stramenopile;Ochrophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Pseudo-nitzschia;Pseudo-nitzschia fraudulenta;	Bacillariophyceae	Diatom
